,Complex,Assembly,Interactors,GO Cellular Component,GO Molecular Function,GO Biological Process,imp,AvgTurnover,SEM,Interactor_ID
136,CPX-4622,heterodimer,Q9DBG7,"cellular component, GO:0016020, membrane; cellular component, GO:0005785, signal recognition particle receptor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0005047, signal recognition particle binding","biological process, GO:0006617, SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",after,-1.6304302349359032,0.39659211157898316,3
137,CPX-4622,heterodimer,Q9DBG7,"cellular component, GO:0016020, membrane; cellular component, GO:0005785, signal recognition particle receptor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0005047, signal recognition particle binding","biological process, GO:0006617, SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",before,-2.2538214040018643,0.0,4
144,CPX-4629,heterooctamer,Q9QZE7,"cellular component, GO:1902555, endoribonuclease complex","molecular function, GO:0004521, endoribonuclease activity; molecular function, GO:0035197, siRNA binding","biological process, GO:0030422, production of siRNA involved in RNA interference; biological process, GO:0035194, RNA-mediated post-transcriptional gene silencing",after,-0.6476597100923717,0.48752799904577243,1
145,CPX-4629,heterooctamer,Q9QZE7,"cellular component, GO:1902555, endoribonuclease complex","molecular function, GO:0004521, endoribonuclease activity; molecular function, GO:0035197, siRNA binding","biological process, GO:0030422, production of siRNA involved in RNA interference; biological process, GO:0035194, RNA-mediated post-transcriptional gene silencing",before,-2.001691830194185,0.0,2
146,CPX-4629,heterooctamer,Q62348,"cellular component, GO:1902555, endoribonuclease complex","molecular function, GO:0004521, endoribonuclease activity; molecular function, GO:0035197, siRNA binding","biological process, GO:0030422, production of siRNA involved in RNA interference; biological process, GO:0035194, RNA-mediated post-transcriptional gene silencing",after,-2.1241724689279247,0.1198471910932469,3
147,CPX-4629,heterooctamer,Q62348,"cellular component, GO:1902555, endoribonuclease complex","molecular function, GO:0004521, endoribonuclease activity; molecular function, GO:0035197, siRNA binding","biological process, GO:0030422, production of siRNA involved in RNA interference; biological process, GO:0035194, RNA-mediated post-transcriptional gene silencing",before,-2.204462779488639,0.134176044869698,4
96,CPX-4921,heterotrimer,P46061,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",after,-0.6954884543655521,0.22720669616502576,1
97,CPX-4921,heterotrimer,P46061,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",before,-0.3392001449778055,0.13880639626760324,2
98,CPX-4921,heterotrimer,Q9ERU9,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",after,-1.6174511501485203,0.5529127911870241,3
99,CPX-4921,heterotrimer,Q9ERU9,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",before,-0.6267003602824469,0.0,4
100,CPX-4921,heterotrimer,P63280,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",after,-0.4532361256661884,0.4993521918418294,5
101,CPX-4921,heterotrimer,P63280,"cellular component, GO:0005643, nuclear pore; cellular component, GO:0106068, SUMO ligase complex","molecular function, GO:0061665, SUMO ligase activity","biological process, GO:0051168, nuclear export; biological process, GO:0016925, protein sumoylation",before,-1.5775214722741273,0.47294508876275054,6
127,CPX-507,heterodimer,Q3B7Z2,"cellular component, GO:0005789, endoplasmic reticulum membrane; cellular component, GO:0000139, Golgi membrane",,"biological process, GO:0035627, ceramide transport; biological process, GO:0006686, sphingomyelin biosynthetic process; biological process, GO:0015914, phospholipid transport; biological process, GO:0015918, sterol transport",after,-2.3618245043714876,0.10802428970717207,1
128,CPX-507,heterodimer,Q3B7Z2,"cellular component, GO:0005789, endoplasmic reticulum membrane; cellular component, GO:0000139, Golgi membrane",,"biological process, GO:0035627, ceramide transport; biological process, GO:0006686, sphingomyelin biosynthetic process; biological process, GO:0015914, phospholipid transport; biological process, GO:0015918, sterol transport",before,-2.1820613519924685,0.18174475038309185,2
129,CPX-507,heterodimer,Q9WV55,"cellular component, GO:0005789, endoplasmic reticulum membrane; cellular component, GO:0000139, Golgi membrane",,"biological process, GO:0035627, ceramide transport; biological process, GO:0006686, sphingomyelin biosynthetic process; biological process, GO:0015914, phospholipid transport; biological process, GO:0015918, sterol transport",after,-3.1193255162502926,0.11134028652496433,3
130,CPX-507,heterodimer,Q9WV55,"cellular component, GO:0005789, endoplasmic reticulum membrane; cellular component, GO:0000139, Golgi membrane",,"biological process, GO:0035627, ceramide transport; biological process, GO:0006686, sphingomyelin biosynthetic process; biological process, GO:0015914, phospholipid transport; biological process, GO:0015918, sterol transport",before,-3.043003440001278,0.1243400325923386,4
67,CPX-5141,heterotetramer,P35585,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",after,-2.2020385599835612,0.21797845054172243,1
68,CPX-5141,heterotetramer,P35585,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",before,-2.4583206203864796,0.23321142798517736,2
69,CPX-5141,heterotetramer,P22892,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",after,-2.2113064380227985,0.1587321680544683,3
70,CPX-5141,heterotetramer,P22892,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",before,-2.146154077729325,0.31647635185539746,4
71,CPX-5141,heterotetramer,O35643,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",after,-2.5810299871479705,0.09265405413853003,5
72,CPX-5141,heterotetramer,O35643,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",before,-2.706763363236131,0.13944628331305262,6
73,CPX-5141,heterotetramer,P61967,"cellular component, GO:0005765, lysosomal membrane; cellular component, GO:0030121, AP-1 adaptor complex; cellular component, GO:0032588, trans-Golgi network membrane; cellular component, GO:0005769, early endosome","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0016192, vesicle-mediated transport; biological process, GO:0060155, platelet dense granule organization; biological process, GO:1903232, melanosome assembly",after,-2.960159735468209,0.0,7
37,CPX-5152,heterotetramer,P62743,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",after,-3.2241434946713547,0.1859460456725642,1
38,CPX-5152,heterotetramer,P62743,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",before,-3.39706090357141,0.1847096974692774,2
39,CPX-5152,heterotetramer,P84091,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",after,-2.5009863699472277,0.12541798717526556,3
40,CPX-5152,heterotetramer,P84091,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",before,-2.592885152967295,0.13249210674364473,4
41,CPX-5152,heterotetramer,P17426,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",after,-2.3829076003371994,0.06703371436797258,5
42,CPX-5152,heterotetramer,P17426,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",before,-2.5122945115169424,0.1122822688080198,6
43,CPX-5152,heterotetramer,Q9DBG3,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",after,-2.7442246530876573,0.16319921860716338,7
44,CPX-5152,heterotetramer,Q9DBG3,"cellular component, GO:0009898, cytoplasmic side of plasma membrane; cellular component, GO:0030122, AP-2 adaptor complex","molecular function, GO:0030276, clathrin binding; molecular function, GO:0140312, cargo adaptor activity","biological process, GO:0072583, clathrin-dependent endocytosis; biological process, GO:0098884, postsynaptic neurotransmitter receptor internalization; biological process, GO:0016192, vesicle-mediated transport",before,-2.8879190139712403,0.23431796752993028,8
124,CPX-531,heterodimer,P27773,"cellular component, GO:0061779, Tapasin-ERp57 complex","molecular function, GO:0042605, peptide antigen binding","biological process, GO:0002502, peptide antigen assembly with MHC class I protein complex",after,-2.2589921250648355,0.07824192152570489,1
125,CPX-531,heterodimer,P27773,"cellular component, GO:0061779, Tapasin-ERp57 complex","molecular function, GO:0042605, peptide antigen binding","biological process, GO:0002502, peptide antigen assembly with MHC class I protein complex",before,-2.2348903394449735,0.08953246855102472,2
126,CPX-531,heterodimer,Q9R233,"cellular component, GO:0061779, Tapasin-ERp57 complex","molecular function, GO:0042605, peptide antigen binding","biological process, GO:0002502, peptide antigen assembly with MHC class I protein complex",after,-1.8898919911503103,0.8059864140886684,3
172,CPX-562,heterotetramer,Q8K2B3,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",after,-4.409681738207884,0.04545194573603968,1
173,CPX-562,heterotetramer,Q8K2B3,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",before,-4.426089713745103,0.04926414030487601,2
174,CPX-562,heterotetramer,Q9CZB0,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",after,-5.034711598374248,0.11266921986042727,3
175,CPX-562,heterotetramer,Q9CZB0,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",before,-5.068134046919359,0.11838070535262475,4
176,CPX-562,heterotetramer,Q9CXV1,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",after,-3.5580025684181997,0.5272323446433789,5
177,CPX-562,heterotetramer,Q9CXV1,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",before,-5.0914876088815015,0.11994360408845849,6
178,CPX-562,heterotetramer,Q9CQA3,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",after,-4.123108214806431,0.0687433753885183,7
179,CPX-562,heterotetramer,Q9CQA3,"cellular component, GO:0005743, mitochondrial inner membrane; cellular component, GO:0005749, mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","molecular function, GO:0008177, succinate dehydrogenase (ubiquinone) activity","biological process, GO:0006099, tricarboxylic acid cycle; biological process, GO:0042776, mitochondrial ATP synthesis coupled proton transport; biological process, GO:0006121, mitochondrial electron transport, succinate to ubiquinone",before,-4.160017571995801,0.08485862113489241,8
112,CPX-5823,heterododecamer,Q8K215,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-4.2537118180699585,0.20246569037041112,1
113,CPX-5823,heterododecamer,Q8K215,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-4.304549416747515,0.18505146899603947,2
114,CPX-5823,heterododecamer,Q9Z1J3,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-3.631847000529343,0.12344430680994739,3
115,CPX-5823,heterododecamer,Q9Z1J3,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-3.7279822600382917,0.08480217046504013,4
116,CPX-5823,heterododecamer,O35943,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-4.407814273930319,0.3231689745417071,5
117,CPX-5823,heterododecamer,O35943,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-4.488534018991631,0.3189185426635757,6
118,CPX-5823,heterododecamer,Q9D7P6,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-2.100962614072314,0.06902361286471108,7
119,CPX-5823,heterododecamer,Q9D7P6,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-2.0066434836606617,0.10049172049761326,8
120,CPX-5823,heterododecamer,Q9CPW2,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-4.3368271307041635,0.17576768428053552,9
121,CPX-5823,heterododecamer,Q9CPW2,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-4.3341727666767085,0.19064403268772528,10
122,CPX-5823,heterododecamer,Q9CR21,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",after,-4.393144944480905,0.05991528025422321,11
123,CPX-5823,heterododecamer,Q9CR21,"cellular component, GO:1990229, iron-sulfur cluster assembly complex; cellular component, GO:0005739, mitochondrion","molecular function, GO:0004322, ferroxidase activity; molecular function, GO:0031071, cysteine desulfurase activity","biological process, GO:0016226, iron-sulfur cluster assembly",before,-4.4517847853761685,0.08573678970253032,12
19,CPX-5849,heterotrimer,Q91WG5,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-2.327748136230223,0.4669895441835823,1
20,CPX-5849,heterotrimer,Q91WG5,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",before,-2.333247043256887,0.0,2
21,CPX-5849,heterotrimer,Q9R078,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-1.7246144637752514,0.2818225597823555,3
22,CPX-5849,heterotrimer,Q5EG47,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-1.9814286868378475,0.16850455801595496,4
23,CPX-5849,heterotrimer,Q5EG47,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",before,-2.522650100347431,0.0,5
24,CPX-5851,heterotrimer,Q8BRK8,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-1.5904381436946966,0.16936248193676584,1
25,CPX-5851,heterotrimer,Q8BRK8,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",before,-1.6707189403365243,0.14107339448077877,2
26,CPX-5851,heterotrimer,O54950,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-2.6310631952910684,0.18332385157080183,3
27,CPX-5851,heterotrimer,O54950,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",before,-2.557494073727248,0.1930931216081911,4
28,CPX-5851,heterotrimer,Q6PAM0,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",after,-2.5186425803923975,0.3685437223657321,5
29,CPX-5851,heterotrimer,Q6PAM0,"cellular component, GO:0031588, nucleotide-activated protein kinase complex","molecular function, GO:0004679, AMP-activated protein kinase activity; molecular function, GO:0005524, ATP binding; molecular function, GO:0016208, AMP binding; molecular function, GO:0050405, [acetyl-CoA carboxylase] kinase activity; molecular function, GO:0047322, [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","biological process, GO:0031669, cellular response to nutrient levels",before,-2.4955809634045774,0.0,6
140,CPX-5861,heterodimer,Q64213,"cellular component, GO:0089701, U2AF; cellular component, GO:0005681, spliceosomal complex; cellular component, GO:0005634, nucleus","molecular function, GO:0030628, pre-mRNA 3'-splice site binding","biological process, GO:0000398, mRNA splicing, via spliceosome",after,-1.9290857421590537,0.12141665610669866,1
141,CPX-5861,heterodimer,Q64213,"cellular component, GO:0089701, U2AF; cellular component, GO:0005681, spliceosomal complex; cellular component, GO:0005634, nucleus","molecular function, GO:0030628, pre-mRNA 3'-splice site binding","biological process, GO:0000398, mRNA splicing, via spliceosome",before,-1.75699808690873,0.16961584328396212,2
142,CPX-5861,heterodimer,P26369,"cellular component, GO:0089701, U2AF; cellular component, GO:0005681, spliceosomal complex; cellular component, GO:0005634, nucleus","molecular function, GO:0030628, pre-mRNA 3'-splice site binding","biological process, GO:0000398, mRNA splicing, via spliceosome",after,-1.9918643962719458,0.30681953921170246,3
143,CPX-5861,heterodimer,P26369,"cellular component, GO:0089701, U2AF; cellular component, GO:0005681, spliceosomal complex; cellular component, GO:0005634, nucleus","molecular function, GO:0030628, pre-mRNA 3'-splice site binding","biological process, GO:0000398, mRNA splicing, via spliceosome",before,-3.1288291836216295,0.11695031408565004,4
13,CPX-5862,heterotrimer,P10630,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",after,-1.6984950459427717,0.11938521965208052,1
14,CPX-5862,heterotrimer,P10630,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",before,-1.677453250167768,0.0999109693214775,2
15,CPX-5862,heterotrimer,P63073,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",after,-1.5457023014335107,0.414071106182089,3
16,CPX-5862,heterotrimer,P63073,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",before,-2.1075519866832444,0.06145935682127068,4
17,CPX-5862,heterotrimer,Q6NZJ6,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",after,-1.4898218731276067,0.07894872712744769,5
